Cat logo de productos / servicios.,,,,,,,,
Fecha inicio de vigencia,Fecha fin de vigencia,Versi¢n,Revisi¢n,,,,,
01/01/2017,,1.0,0,,,,,
,,,,,,,,
c_ClaveProdServ,Descripci¢n,FechaInicioVigencia,FechaFinVigencia,Incluir IVA trasladado,Incluir IEPS trasladado,Complemento que debe incluir,,
10171502,Hormonas para plantas,01/10/2016,,Opcional,No,,,
10171503,Harina de pescado,01/10/2016,,Opcional,No,,,
10171504,Abono,01/10/2016,,Opcional,No,,,
10171505,Nutriente foliar,01/10/2016,,Opcional,No,,,
10171506,Humus,01/10/2016,,Opcional,No,,,
10171600,Abonos qu¡micos y nutrientes para plantas,01/10/2016,,Opcional,No,,,
10171601,Fertilizante nitrogenado,01/10/2016,,Opcional,No,,,
10171602,Fertilizante de potasio,01/10/2016,,Opcional,No,,,
10171603,Fertilizante de f¢sforo,01/10/2016,,Opcional,No,,,
10171604,Fertilizante de sulfuro,01/10/2016,,Opcional,No,,,
10171605,Mezclas de nitr¢geno ? f¢sforo ? potasio ? npk,01/10/2016,,Opcional,No,,,
10171606,Fertilizarte de s¡lice puro,01/10/2016,,Opcional,No,,,
10171607,Fertilizante con magnesio,01/10/2016,,Opcional,No,,,
10171608,Fertilizante micro elemento,01/10/2016,,Opcional,No,,,
10171609,Fertilizante fosfato de s¡lice,01/10/2016,,Opcional,No,,,
10171610,Fertilizante potasio de s¡lice,01/10/2016,,Opcional,No,,,
10171611,Fertilizante de calcio,01/10/2016,,Opcional,No,,,
10171700,Herbicidas,01/10/2016,,Opcional,No,,,
10171701,Matamalezas,01/10/2016,,Opcional,No,,,
10171702,Fungicidas,01/10/2016,,Opcional,No,,,
10171800,Acondicionadores de suelos,01/10/2016,,Opcional,No,,,
10171801,Acondicionador org nico de suelos,01/10/2016,,Opcional,No,,,
10171802,Acondicionador inorg nico de suelos,01/10/2016,,Opcional,No,,,
10191500,Pesticidas o repelentes de plagas,01/10/2016,,Opcional,Opcional,,,
10191506,Mata ? roedores,01/10/2016,,Opcional,Opcional,,,
10191507,Repelentes de aves,01/10/2016,,Opcional,Opcional,,,
10191508,Protectores contra termitas,01/10/2016,,Opcional,Opcional,,,
10191509,Insecticidas,01/10/2016,,Opcional,Opcional,,,
10191510,Abamectina,01/10/2016,,Opcional,Opcional,,,
10191511,Fipronil,01/10/2016,,Opcional,Opcional,,,
10191700,Dispositivos para control de plagas,01/10/2016,,Opcional,No,,,
10191701,Trampas para control animal,01/10/2016,,Opcional,No,,,
10191703,Trampas para el control de insectos voladores,01/10/2016,,Opcional,No,,,
10191704,Matamoscas,01/10/2016,,Opcional,No,,,
10191705,Lazos,01/10/2016,,Opcional,No,,,
10191706,Cepos,01/10/2016,,Opcional,No,,,
10191707,Repelente ultras¢nico de pestes,01/10/2016,,Opcional,No,,,
10201500,Rosales vivos azules o lavanda o p£rpura,01/10/2016,,Opcional,No,,,
10201501,Rosal vivo allure o sterling 95,01/10/2016,,Opcional,No,,,
10201502,Rosal vivo amnesia,01/10/2016,,Opcional,No,,,
10201503,Rosal vivo augusta louise,01/10/2016,,Opcional,No,,,
10201504,Rosal vivo avant garde,01/10/2016,,Opcional,No,,,
10201505,Rosal vivo blue bird,01/10/2016,,Opcional,No,,,
10201506,Rosal vivo curiosa,01/10/2016,,Opcional,No,,,
10201507,Rosal vivo cool water,01/10/2016,,Opcional,No,,,
10201508,Rosal vivo delilah,01/10/2016,,Opcional,No,,,
10201509,Rosal vivo double party,01/10/2016,,Opcional,No,,,
10201510,Rosal vivo faith,01/10/2016,,Opcional,No,,,
10201511,Rosal vivo mami blue o mammy blue,01/10/2016,,Opcional,No,,,
10201512,Rosal vivo mar¡timo,01/10/2016,,Opcional,No,,,
10201513,Rosal vivo milano,01/10/2016,,Opcional,No,,,
10201514,Rosal vivo mistery,01/10/2016,,Opcional,No,,,
10201515,Rosal vivo ocean song o boyfriend,01/10/2016,,Opcional,No,,,
10201516,Rosal vivo cezanne p£rpura,01/10/2016,,Opcional,No,,,
10201517,Rosal vivo purple fragrance,01/10/2016,,Opcional,No,,,
10201518,Rosal vivo sanaa,01/10/2016,,Opcional,No,,,
10201519,Rosal vivo silverstone,01/10/2016,,Opcional,No,,,
10201520,Rosal vivo soulmate,01/10/2016,,Opcional,No,,,
10201521,Rosal vivo stranger,01/10/2016,,Opcional,No,,,
10201522,Rosal vivo tinted blue,01/10/2016,,Opcional,No,,,
10201523,Rosal vivo two faces,01/10/2016,,Opcional,No,,,
10201600,Rosales vivos chocolate o marr¢n,01/10/2016,,Opcional,No,,,
10201601,Rosal vivo black lava,01/10/2016,,Opcional,No,,,
10201602,Rosal vivo cimarron,01/10/2016,,Opcional,No,,,
10201603,Rosal vivo coffee break,01/10/2016,,Opcional,No,,,
10201604,Rosal vivo estelle,01/10/2016,,Opcional,No,,,
10201605,Rosal vivo gypsy leonidas,01/10/2016,,Opcional,No,,,
10201606,Rosal vivo leonidas,01/10/2016,,Opcional,No,,,
10201607,Rosal vivo matilda,01/10/2016,,Opcional,No,,,
10201608,Rosal vivo sunny leonidas,01/10/2016,,Opcional,No,,,
10201609,Rosal vivo terra nostra,01/10/2016,,Opcional,No,,,
10201610,Rosal vivo terracotta,01/10/2016,,Opcional,No,,,
10201700,Rosales vivos crema,01/10/2016,,Opcional,No,,,
10201701,Rosal vivo advenire,01/10/2016,,Opcional,No,,,
10201702,Rosal vivo alex,01/10/2016,,Opcional,No,,,
10201703,Rosal vivo antique brass,01/10/2016,,Opcional,No,,,
10201704,Rosal vivo aubade,01/10/2016,,Opcional,No,,,
10201705,Rosal vivo beach,01/10/2016,,Opcional,No,,,
10201706,Rosal vivo belle pearl,01/10/2016,,Opcional,No,,,
10201707,Rosal vivo blush de los andes,01/10/2016,,Opcional,No,,,
10201708,Rosal vivo camel,01/10/2016,,Opcional,No,,,
10201709,Rosal vivo caramel antike o caramel antique,01/10/2016,,Opcional,No,,,
10201710,Rosal vivo champagne,01/10/2016,,Opcional,No,,,
10201711,Rosal vivo clear ocean,01/10/2016,,Opcional,No,,,
10201712,Rosal vivo combo,01/10/2016,,Opcional,No,,,
10201713,Rosal vivo creme de la creme,01/10/2016,,Opcional,No,,,
10201714,Rosal vivo emanuella,01/10/2016,,Opcional,No,,,
10201715,Rosal vivo evolution,01/10/2016,,Opcional,No,,,
10201716,Rosal vivo fedora,01/10/2016,,Opcional,No,,,
10201717,Rosal vivo fenice,01/10/2016,,Opcional,No,,,
10201718,Rosal vivo french vanilla,01/10/2016,,Opcional,No,,,
10201719,Rosal vivo hollywood,01/10/2016,,Opcional,No,,,
10201720,Rosal vivo ilios,01/10/2016,,Opcional,No,,,
10201721,Rosal vivo jelena,01/10/2016,,Opcional,No,,,
10201722,Rosal vivo kameleon,01/10/2016,,Opcional,No,,,
10201723,Rosal vivo kentucky,01/10/2016,,Opcional,No,,,
10201724,Rosal vivo kings pride,01/10/2016,,Opcional,No,,,
10201725,Rosal vivo latin fusion,01/10/2016,,Opcional,No,,,
10201726,Rosal vivo lemon dream,01/10/2016,,Opcional,No,,,
10201727,Rosal vivo magic moka,01/10/2016,,Opcional,No,,,
10201728,Rosal vivo mamamia,01/10/2016,,Opcional,No,,,
10201729,Rosal vivo message,01/10/2016,,Opcional,No,,,
10201730,Rosal vivo muneca o munieca,01/10/2016,,Opcional,No,,,
10201731,Rosal vivo parfum de rosas,01/10/2016,,Opcional,No,,,
10201732,Rosal vivo porcelina,01/10/2016,,Opcional,No,,,
10201733,Rosal vivo privilege,01/10/2016,,Opcional,No,,,
10201734,Rosal vivo quicksand,01/10/2016,,Opcional,No,,,
10201735,Rosal vivo rollercoaster,01/10/2016,,Opcional,No,,,
10201736,Rosal vivo romantic curiosa,01/10/2016,,Opcional,No,,,
10201737,Rosal vivo safari,01/10/2016,,Opcional,No,,,
